,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Number_Counties,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Health_Status,Unhealthy_Days,LBW,VLBW,Premature,Under_18_deaths,Over_40_deaths,Unmarried,Late_Care,Infant_Mortality,IM_Wh_Non_Hisp,IM_Bl_Non_Hisp,IM_Neonatal,IM_Postneonatal,Brst_Cancer,Col_Cancer,CHD,Homicide,Lung_Cancer,MVA,Stroke,Suicide,Injury,Total_Births,Total_Deaths,MOBD_Time_Span,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Rpt_Ind,Ecol_Exp,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt,Shig_Exp,Toxic_Chem,Diabetes,Smoker,Obesity
2858,51,83,Halifax,Virginia,VA,35,36284,44,16.3,23.7,58.2,15.4,2.7,61,38,0.3,0.2,1.4,74.2,995.1,20.3,6.8,9.1,1.9,13.5,4.7,1.6,43.3,27.8,8.1,3.2,14.8,4.5,3.6,35.1,25.9,156.4,10.7,61.1,36.9,67.9,13.1,26.4,2215,2396,1999-2003,4807,6051,1616,52.4,27.6,9133,965,1535,2080,1621,0,3,2,32,4,24,20,7,1838323,11.7,21.5,32
2860,51,87,Henrico,Virginia,VA,24,280581,1179,7.9,25.5,62.4,10.4,1.7,66.1,27.4,0.4,4.9,3.1,76.9,849.5,10,5.7,9.1,1.7,13.9,2.2,2.7,28.2,10.3,8,4.3,17.2,5.7,2.3,29.3,19.2,129.7,6.7,54.5,12.4,67.6,11.9,21.8,11013,6989,2001-2003,25103,26163,3538,159.3,73.4,25333,5154,4143,15699,12674,11,3,16,304,4,105,118,56,1900708,5.7,17,22.7
2861,51,89,Henry,Virginia,VA,37,56501,148,13.5,22.3,61.5,14.3,1.9,76,22.6,0.3,0.6,5.4,74.6,918.4,18.8,8.2,9.5,2.2,13,4.7,1.4,39,21.8,8.5,6.4,14.6,6.6,1.9,28.5,19.8,209.4,11.2,46.8,23.9,69.6,19,27.1,3190,2964,1999-2003,8077,7319,2139,10.6,17.7,14069,1674,1564,3298,2558,2,3,6,53,4,43,52,12,1028572,8.9,29.1,22.6
2875,51,117,Mecklenburg,Virginia,VA,35,32529,52,15.3,21.9,59.2,16.9,2,60.9,38,0.3,0.5,1.6,74,1000.8,19.8,5.9,10.8,2.3,15.2,5.4,1.6,51.3,21.2,9,3.3,14.7,3.9,5,31.1,24.7,195.8,8.6,56.2,21.9,85.3,12.7,23.7,1785,2056,1999-2003,4688,5838,1180,79.9,24.6,7505,805,849,1906,1457,1,3,2,17,3,21,11,6,255793,7.4,24.3,26.4
2886,51,143,Pittsylvania,Virginia,VA,44,61854,64,12.4,22.8,62.9,12.5,1.8,75.2,23.9,0.2,0.2,1.6,75.9,903.9,21.7,6.4,8.6,2.1,12.8,5.2,1.6,33.4,15.9,8,5.4,15.6,5,3,25.2,21.4,192.3,6.7,55.6,25.7,63.8,16.9,21.1,3620,3040,1999-2003,6732,6786,1618,9.7,9.7,14209,1984,1507,3586,2811,1,3,6,26,3,40,3,9,371642,10.6,27.3,30.9
2890,51,153,Prince William,Virginia,VA,24,348588,1032,6.1,30.7,63.7,5.1,0.5,70.1,19.4,0.5,6.7,17.4,77.4,803.3,10.8,5.8,6.9,1.4,10.9,2.3,2.8,24.5,18.4,6.8,5.2,14.5,4.4,2.3,26.9,15.9,125.6,3.5,50.4,12,46.7,7.8,19.5,17032,3553,2001-2003,35630,12655,2015,44.5,25.8,23766,4766,6388,18226,16294,12,3,19,134,4,121,38,65,657182,7.3,20.6,23.5
2903,51,179,Stafford,Virginia,VA,26,117874,436,5,29.5,64.7,5.1,0.6,78.4,16.1,0.4,2.4,6.3,78.1,865.2,8.2,5.3,6.9,1.4,10.3,2.2,2.6,24.5,10.4,5,4.5,9.7,3.8,1.3,25,22.9,146,2.3,59.2,11.1,47.5,9.2,15,7144,2195,1999-2003,10379,4246,705,29.7,17,8285,1472,1419,6277,5724,3,3,5,63,4,69,7,20,0,4.8,19.2,23.3
2913,51,510,Alexandria City,Virginia,VA,44,135337,8915,8.8,20.1,69.5,8.7,1.7,70.7,21.7,0.4,5.4,13.4,78.1,691,8,4.9,7.5,1.4,10.3,1.5,4.6,25,27,5.9,4.4,8.6,5,0.9,24.4,17.4,98.1,4.8,46,6.6,50.5,8.5,17.7,7852,2432,2001-2003,17104,18039,1657,120.4,65.8,13281,2308,2201,8049,5557,4,3,8,71,4,48,26,16,1797498,7.6,18.6,15.9
2918,51,550,Chesapeake City,Virginia,VA,57,218968,643,9.1,27.8,62.8,8.5,0.9,65.8,30.1,0.4,2.1,2.5,75.9,916.5,11.4,5.9,8.3,1.8,12.4,3.6,2.3,33.1,11.6,11.5,8.9,17.6,8.3,3.2,31,24.1,164.7,5,65.9,8,66.9,7.9,21,8349,4221,2001-2003,23324,18321,3558,101.4,36.5,20645,3888,3507,11934,10590,2,3,12,90,4,80,84,25,3171602,5.5,22.1,22.7
2921,51,590,Danville City,Virginia,VA,27,46143,1072,19.3,24,55.6,17.5,3,52.9,45.7,0.2,0.8,2,72.7,1096.3,21.9,7.3,9.6,2.4,15.3,7.3,1.5,57.3,31.9,10.1,5.8,13.7,6.6,3.5,27.6,22.3,230.7,17.2,70.9,13.7,79.9,19.3,24.8,2861,3768,1999-2003,7390,10822,2434,114.9,73.7,10054,2108,1317,2638,2085,0,3,2,40,4,38,35,29,166656,13.8,26.6,29.3
